Galaxy,Final Model,Sum comp Mass,Mass Bar,Mass Disk,Mass Bulge,Mass Nucleus,Bar-to-total Mass,Disk-to-total Mass,Bulge-to-total Mass,Nucleus-to-total Mass
ESO482-035,DBAR,9.820400429787982,8.850622841822986,9.771151294081507,,,0.1072068195066509,0.8927931804933491,,
ESO485-021,DBARN,9.23983582138606,8.11416213613301,9.204947965311847,,6.604785965311848,0.0748731861980942,0.9228096851685992,,0.0023171286333068
ESO508-024,DBAR,10.232874780353264,8.961995943585485,10.208951982655924,,,0.0535946159554464,0.9464053840445537,,
ESO510-059,DBAR,9.825582345905437,8.842992862975642,9.777846554779686,,,0.1040903615601463,0.8959096384398537,,
ESO532-022,DBAR,9.333379633612852,8.37982406416481,9.282141167217503,,,0.1112869988211924,0.8887130011788075,,
ESO576-032,DBARN,10.173142869651928,8.433400563644406,10.158899977971812,,8.320995977971812,0.0182078092098228,0.9677364704275876,,0.0140557203625896
ESO580-022,DBAR,9.672062048195482,8.078925773873422,9.660835422117874,,,0.0255190043347656,0.9744809956652344,,
IC0749,DBARN,10.34750330981178,8.491729846536973,10.340874190146549,,7.430062190146545,0.0139388369108052,0.9848517939547496,,0.0012093691344452
IC0758,DBAR,9.590364224074136,8.40940656864325,9.560746522729149,,,0.0659238169133424,0.9340761830866576,,
IC0769,DBARN,10.257010359866856,8.833089230025871,10.235625198205437,,8.272841198205438,0.0376772216584723,0.9519515346641956,,0.0103712436773321
IC0797,DBARN,9.41510294469694,8.376614762262644,9.372136775970148,,6.842868775970147,0.0915191162163989,0.905803159659326,,0.0026777241242751
IC0800,DBAR,10.564511048883263,9.581741003021849,10.5167962314135,,,0.1040470937889187,0.8959529062110813,,
IC0863,DBARN,10.059269942952035,9.439992406768676,9.897416554779683,,8.909502554779685,0.2402826781177255,0.6888848151075346,,0.0708325067747397
IC1067,DBARBN,9.868689463360514,8.986388083407759,9.736656589467836,8.810496589467837,8.507808589467835,0.1311289609865809,0.737848376630139,0.0874595273726457,0.0435631350106342
IC1438,DBARB,10.497980780914975,9.738157233957864,10.200571400555308,10.005787400555308,,0.1738507037460425,0.5041858112531009,0.3219634850008566,
IC1870,DBAR,9.40992641474358,8.240626535729895,9.379474004617787,,,0.0677173759726602,0.9322826240273396,,
IC1933,DBAR,9.603224157509588,8.182377287820142,9.586424114840977,,,0.0379448753338839,0.962055124666116,,
