Name,y$_{3.6\mu m}$_center,x$_{3.6\mu m}$_center,SKY$_{3.6\mu m}$,$\sigma$_SKY$_{3.6\mu m}$,RMS$_{3.6\mu m}$,y$_{4.5\mu m}$_center,x$_{4.5\mu m}$_center,SKY$_{4.5\mu m}$,$\sigma$_SKY$_{4.5\mu m}$,RMS$_{4.5\mu m}$
NGC3504,965.0,524.0,0.0524,0.0063,0.0051,479.0,773.0,0.1236,0.0101,0.0082
NGC3507,284.0,514.0,0.102,0.013,0.0104,792.0,290.0,0.2372,0.0134,0.0108
NGC3583,297.0,620.0,0.0329,0.017,0.0146,785.0,301.0,0.0764,0.0138,0.011
NGC3637,752.0,255.0,0.0267,0.0122,0.0098,246.0,456.0,0.0072,0.0118,0.0094
NGC3654,291.0,751.0,0.0173,0.0153,0.0123,583.0,779.0,-0.0422,0.0141,0.0113
NGC3664,330.0,555.0,0.0942,0.0215,0.0172,830.0,342.0,0.2052,0.0267,0.0215
NGC3673,1099.0,918.0,0.0319,0.0186,0.015,1111.0,746.0,-0.0065,0.0172,0.0139
NGC3681,285.0,523.0,0.1185,0.0136,0.011,792.0,290.0,0.258,0.0138,0.0112
NGC3683A,300.0,663.0,0.0192,0.0145,0.0116,791.0,303.0,0.024,0.0134,0.0107
NGC3684,781.0,513.0,0.1414,0.0169,0.0136,781.0,490.0,0.3565,0.0184,0.0148
NGC3686,348.0,533.0,0.0636,0.0213,0.0172,861.0,352.0,0.1375,0.026,0.0208
NGC3691,783.0,513.0,0.137,0.0174,0.0141,781.0,489.0,0.3166,0.0186,0.0152
NGC3729,597.0,419.0,0.0151,0.0207,0.0166,340.0,899.0,-0.0261,0.0235,0.0188
NGC3782,293.0,583.0,0.0388,0.014,0.0112,790.0,298.0,0.0236,0.0127,0.0101
NGC3795A,300.0,675.0,0.0164,0.0143,0.0115,791.0,302.0,0.0536,0.0139,0.0113
NGC3870,321.0,554.0,0.0158,0.0054,0.0045,813.0,324.0,0.0519,0.0077,0.0064
NGC3887,1115.0,951.0,0.0383,0.0177,0.0141,1106.0,823.0,0.052,0.0168,0.0135
NGC3906,370.0,701.0,0.0425,0.0089,0.0072,790.0,354.0,0.1336,0.0142,0.0115
NGC3930,781.0,590.0,0.0679,0.0157,0.0126,755.0,496.0,0.1907,0.0162,0.0131
NGC3941,764.0,349.0,0.0725,0.0248,0.0198,271.0,582.0,0.1775,0.0325,0.0261
NGC3953,580.0,814.0,0.0083,0.0114,0.0097,698.0,913.0,-0.013,0.0522,0.0568
NGC3985,296.0,610.0,0.0425,0.0138,0.011,791.0,300.0,0.0244,0.0128,0.0103
NGC3992,919.0,1317.0,0.0455,0.0127,0.0101,1312.0,940.0,0.0584,0.012,0.0096
NGC4027,1101.0,655.0,0.0452,0.0173,0.0139,586.0,892.0,0.0069,0.0168,0.0135
NGC4034,716.0,297.0,0.0097,0.0154,0.0124,508.0,777.0,-0.044,0.0145,0.0118
NGC4037,777.0,495.0,0.0919,0.0165,0.0133,785.0,504.0,0.2363,0.0173,0.014
NGC4045,781.0,496.0,0.0856,0.0168,0.0135,783.0,501.0,0.117,0.0177,0.0142
NGC4051,766.0,791.0,0.0129,0.011,0.0092,862.0,898.0,0.0508,0.0457,0.0483
NGC4067,782.0,432.0,0.0748,0.0161,0.0129,791.0,498.0,0.0874,0.0164,0.0132
NGC4116,827.0,527.0,0.1039,0.0173,0.014,327.0,743.0,0.2491,0.0193,0.0157
NGC4123,781.0,470.0,0.0541,0.0161,0.0129,789.0,503.0,0.1105,0.0161,0.0129
NGC4133,294.0,781.0,0.0122,0.0153,0.0123,769.0,288.0,0.0043,0.0135,0.0109
NGC4142,757.0,625.0,0.0438,0.0158,0.0127,737.0,569.0,0.0881,0.015,0.0121
NGC4145,845.0,994.0,0.0667,0.0194,0.0156,807.0,899.0,0.1654,0.02,0.016
NGC4152,779.0,502.0,0.0857,0.016,0.0128,784.0,506.0,0.2238,0.017,0.0137
NGC4189,818.0,405.0,0.0689,0.0174,0.014,323.0,635.0,0.2007,0.025,0.0203
NGC4204,1060.0,827.0,0.0662,0.0178,0.0144,1084.0,985.0,0.0284,0.0174,0.014
NGC4214,701.0,332.0,0.0096,0.0047,0.0037,300.0,703.0,0.0105,0.0069,0.0056
NGC4234,836.0,408.0,0.0695,0.021,0.0168,337.0,630.0,0.181,0.0267,0.0214
NGC4245,733.0,340.0,0.0254,0.0106,0.0085,289.0,658.0,0.0477,0.0148,0.0118
NGC4262,763.0,333.0,0.0619,0.0111,0.0089,270.0,567.0,0.184,0.0162,0.0131
NGC4267,770.0,295.0,0.0722,0.0205,0.0164,291.0,556.0,0.0917,0.0263,0.0212
NGC4273,1114.0,825.0,0.0893,0.0127,0.0113,614.0,1045.0,0.2137,0.0191,0.0161
NGC4276,777.0,448.0,0.0618,0.016,0.0128,790.0,512.0,0.1137,0.016,0.0129
NGC4288,296.0,634.0,0.0377,0.0076,0.0061,723.0,297.0,0.1175,0.0106,0.0086
NGC4293,987.0,527.0,0.0523,0.0059,0.0048,505.0,784.0,0.1139,0.0096,0.0078
NGC4314,705.0,339.0,0.0151,0.0101,0.0081,300.0,706.0,0.0016,0.0141,0.0114
NGC4369,832.0,418.0,0.0127,0.0056,0.0045,430.0,787.0,0.012,0.0085,0.0069
NGC4384,299.0,656.0,0.0331,0.0141,0.0114,792.0,303.0,0.0135,0.0129,0.0103
NGC4389,767.0,646.0,0.0489,0.0182,0.0154,720.0,544.0,0.1222,0.019,0.0172
NGC4390,776.0,432.0,0.0699,0.0159,0.0128,791.0,517.0,0.125,0.0162,0.0131
NGC4394,544.0,662.0,0.1134,0.0124,0.0099,1027.0,413.0,0.3372,0.0174,0.014
NGC4405,387.0,530.0,0.0547,0.0097,0.008,914.0,400.0,0.0526,0.0103,0.0085
NGC4411A,777.0,779.0,0.064,0.0166,0.0133,791.0,606.0,0.1147,0.016,0.0129
