Galaxy,Final Model,Mag Disk1,Mag Bulge1,Mag Nucleus1,Disk-to-total light1,Bulge-to-total light1,Bar-to-total light1,Nucleus-to-total light1,Flux Model1,Flux Disk1,Flux Bulge1,Flux Bar1,Flux Nucleus1,Mag Disk2,Mag Bulge2,Mag Nucleus2,Disk-to-total light2,Bulge-to-total light2,Bar-to-total light2,Nucleus-to-total light2,Flux Model2,Flux Disk2,Flux Bulge2,Flux Bar2,Flux Nucleus2,Mag Final Model1,Mag Final Model2,Bar-to-total Mass,Disk-to-total Mass,Bulge-to-total Mass,Nucleus-to-total Mass,Mass Bar,Mass Disk,Mass Bulge,Mass Nucleus,Sum comp Mass,sersic n1,sersic n2
NGC4424,DBAR,11.5604,,,0.8307547,,0.16924532,,0.1038406013301923,0.0862660673278861,,0.0175745355496516,,12.0211,,,0.8211037,,0.17889628,,0.0687324769470046,0.0564364905852533,,0.0122959843133637,,11.35908201395489,11.807095012298038,0.1613718461096692,0.8386281538903307,,,9.450192001266302,10.165933672035184,,,10.242364233865116,,
NGC4430,DBARN,11.878,,17.6688,0.9420174,,0.05330112,0.0046814806,0.0683504040388759,0.0643872682901459,,0.003643152972504,0.0003107992771087,12.3712,,18.2226,0.93989927,,0.05568414,0.0044166115,0.0434949353508805,0.0408808578008384,,0.0024219781483,0.0001866207798828,11.81314728462278,12.30390327584448,0.051358235637432,0.9438643426435952,,0.0047774217189727,8.785644187984843,10.049943672035184,,7.754227672035183,10.075034092435128,,
NGC4448,DBARB,10.5332,13.3469,,0.8121973,0.06159078,0.12621191,,0.2735636841235269,0.2221876931773226,0.0166433214021253,0.0345269954737701,,11.0652,13.8833,,0.8182002,0.061778158,0.12002165,,0.166364413799999,0.1361193918184433,0.0101550016896184,0.0199673312301176,,10.30735389047531,10.847348914811471,0.1317870814506941,0.8075159359561052,0.0606969825932006,,9.551219581296976,10.338497842756546,9.214513842756546,,10.431346741066706,1.124,1.1825
NGC4449,DBARN,9.8086,,15.2517,0.90841097,,0.08474902,0.0068399687,0.476735652384889,0.4330718946985427,,0.0404028796419228,0.0028795193415208,10.1864,,16.0184,0.9142897,,0.080899164,0.0048111486,0.3344692271383774,0.3058017736562,,0.0270582808861856,0.0014211502637448,9.70430592102652,10.08910958337101,0.0881868200940245,0.9036662484598488,,0.0081469314461268,8.239166236199631,9.249770615301957,,7.204756615301956,9.293762553427802,,
NGC4450,DBARBN,9.8218,11.7992,14.0134,0.7535585,0.12237318,0.10800956,0.016058624,0.5677576799192657,0.4278386350127952,0.0692340918665317,0.0613232582713533,0.0090082410733264,10.327,12.2632,14.8886,0.7583567,0.12801921,0.10213012,0.011494046,0.3542635558245752,0.2686581377268692,0.0451564715972678,0.0361809803475478,0.0040230923323404,9.51459245618316,10.02668380642622,0.1131257583125221,0.7485332960786959,0.1172851758370363,0.0210557697717455,9.769574413103294,10.590224032978831,9.78525603297883,9.039384032978832,10.716012909687027,1.7158,2.0461
NGC4454,DBARBN,11.7181,14.0007,15.3887,0.79151326,0.09828563,0.08272791,0.027473092,0.0942544368240392,0.0746036369539702,0.0091142303374467,0.0077974724807324,0.0025381658701303,12.2687,14.5122,16.2395,0.7910563,0.10181068,0.08631285,0.020820236,0.0567953290342665,0.0449283014441319,0.0056901013243448,0.0049021668746561,0.0011593111157416,11.464245492915646,12.014218450249654,0.0798292384453234,0.7922116774627306,0.0938657684118905,0.0340933156800554,9.51862117867421,10.515300432224384,9.588966432224383,9.149128432224384,10.616459192464305,1.1684,1.2871
NGC4487,DBAR,11.3429,,,0.96104306,,0.038956862,,0.109672350960076,0.1053998517449712,,0.0042724906353166,,11.8018,,,0.9595838,,0.040416185,,0.0719775539938367,0.0690684961373869,,0.002909058124587,,11.299757117001306,11.757007290047898,0.0377563150782864,0.9622436849217136,,,8.724630523410767,10.13092599132796,,,10.147640921769336,,
NGC4491,DBARB,12.5538,15.3479,,0.85287696,0.0657022,0.081420735,,0.0405129265866377,0.0345525417177956,0.0026353603043403,0.0032985922404303,,13.1112,15.1154,,0.79938763,0.12605211,0.07456021,,0.0258679834477736,0.0206785460795064,0.0032646753492944,0.0019287222809558,,12.381015957424946,12.868093564045452,0.0855287681630679,0.8783740340605255,0.0360971977764065,,8.52732657090343,9.538893842756544,8.152687842756546,,9.59521435380047,1.5842,7.1445
NGC4496A,DBAR,11.5419,,,0.9591429,,0.0408571,,0.091486428380907,0.0877485603645803,,0.0037378700612076,,12.1,,,0.9496765,,0.05032353,,0.0552617078230807,0.052480746024977,,0.0027809642684944,,11.496608317195673,12.043939244138748,0.0341738289902948,0.9658261710097052,,,8.418037869241664,9.86924319670892,,,9.884344227399502,,
NGC4498,DBAR,12.0861,,,0.94491404,,0.055086084,,0.0562558507232815,0.0531569433465094,,0.0030989145021308,,12.5449,,,0.9472891,,0.05271093,,0.0367754042743136,0.0348369399565892,,0.001938465824714,,12.024580758388147,12.486106360869638,0.0571838431369254,0.9428161568630744,,,8.475296165915909,9.692449842756549,,,9.718022826417672,,
NGC4504,DBARN,11.6312,,18.2852,0.97923434,,0.018613305,0.002152298,0.0825340897614045,0.0808202147339878,,0.0015362321809092,0.0001761651508321,12.0818,,18.9343,0.9806248,,0.017580047,0.0017951129,0.0544223298058582,0.0533678860071163,,0.0009567471294308,9.689023293501114e-05,11.608416585069753,12.060557175309713,0.0195375530771447,0.9779723481433686,,0.0024900987794865,8.388180582651131,10.087636987209208,,7.493526987209208,10.09731041178615,,
NGC4519,DBAR,12.0653,,,0.943261,,0.056738947,,0.057444454398763,0.0541851150709401,,0.003259337829842,,12.5372,,,0.9299149,,0.07008521,,0.037729130567935,0.0350848803667641,,0.0026442541366258,,12.001879727720578,12.458308006471324,0.0473104455483057,0.9526895544516945,,,8.401229477292251,9.705223842756546,,,9.726272439236087,,
NGC4523,DBAR,13.2053,,,0.9639797,,0.036020312,,0.0196703506614399,0.0189618191439509,,0.0007085321769889,,13.7712,,,0.9493449,,0.050655093,,0.0118603086321562,0.0112595231972155,,0.0006007850372929,,13.165469744714756,13.714760023740851,0.0268622446305505,0.9731377553694496,,,7.722151820148861,9.281183842756546,,,9.293009520307152,,
NGC4525,DBARN,12.5993,,20.1562,0.9397934,,0.05929748,0.0009091701,0.0352571826584508,0.0331344678441384,,0.0020906620725851,3.144271215965326e-05,13.0929,,20.601,0.9331493,,0.06590689,0.0009438799,0.0225366248585478,0.0210300352190047,,0.0014853188495886,2.0873727039105455e-05,12.53188098596052,13.01777781112675,0.0541737899544429,0.9449631065946296,,0.0008631034509274,8.257376209253081,9.499001842756543,,6.459649842756547,9.523586989713046,,
NGC4535,DBARB,9.5801,13.238,,0.9438426,0.033514183,0.022643248,,0.5663180833461468,0.5345151264672569,0.0183992448979666,0.0128232805924779,,10.0431,13.5739,,0.94351816,0.037665457,0.018816257,,0.3698364704035681,0.3489474267120412,0.0135033025994804,0.0069589380364981,,9.5173489262707,9.979975660781202,0.0265011913935449,0.9440793616927112,0.0294194469137439,,9.144534737650694,10.696277842756546,9.189903842756546,,10.721269339034205,2.0414,2.2022
NGC4540,DBARN,11.7743,,19.3031,0.9240409,,0.07504759,0.00091147516,0.076663527626717,0.0708402361065988,,0.0057534129769027,6.898584686048644e-05,12.2549,,19.3717,0.9194907,,0.07918429,0.0013249997,0.0494871748570646,0.0455029968028938,,0.0039186066218802,6.47619623764067e-05,11.688528002047724,12.163768346630366,0.0716815075553481,0.9276641715582642,,0.0006543208863876,8.712598189776463,9.824581842756546,,6.6729818427565455,9.857191059248455,,
