Galaxy,Model,Total Model Mass,Bar Mass,Disk Mass,Bulge Mass,Nucleus Mass,Bar-to-total,Disk-to-total,Bulge-to-total,Nucleus-to-total
NGC0578,DBARN,10.246856230035005,8.892878953153758,10.225679435306976,,7.769362143520208,0.044261153003942774,0.9524083740245497,,0.003330472971507414
NGC0600,DBAR,9.73673063847712,8.623197061382024,9.70193436682468,,,0.07699569135154585,0.9230043086484542,,
NGC0613,DBARB,11.031177778912046,10.250836940476306,10.876841101730125,10.1558768795409,,0.16582849588220938,0.7009117214551499,0.13325978266264069,
NGC0685,DBAR,9.791665937328295,8.448784429701664,9.771484388048977,,,0.045406548642116955,0.9545934513578831,,
NGC0701,DBAR,10.086795526663346,9.098922901167443,10.039669405606615,,,0.10283178498976782,0.8971682150102323,,
NGC0718,DBARB,10.196536766546146,9.263779865539963,9.98968716665636,9.615119136259096,,0.11674629287146929,0.6210840840312735,0.2621696230972572,
NGC0864,DBARB,10.163725552398114,9.08200973190993,10.10677713346341,8.766291215063287,,0.08284841028925657,0.8771049885346182,0.04004660117612534,
NGC0936,DBARB,10.85339544556009,9.875618199659556,10.692643576611921,10.163271563635535,,0.10525015742678477,0.6906342801044534,0.20411556246876184,
NGC0986,DBARB,10.36455678668044,9.66813778015083,10.165294194620332,9.586732471633301,,0.20117823492748005,0.6320295850967604,0.16679217997575935,
NGC0991,DBARN,9.627041515458968,8.071016579145319,9.614540688378261,,6.3892413747106245,0.027795536668091557,0.9716261011875635,,0.0005783621443449238
NGC1015,DBARB,10.325373721731006,9.424610574461811,10.134264131804374,9.687708669883042,,0.1256715156062586,0.6440067362652586,0.23032174812848277,
NGC1022,DBARB,10.171366776988627,9.115479405301327,10.00001843362436,9.548103803820588,,0.08792505088170664,0.6739872122721623,0.2380877368461311,
NGC1036,DBAR,8.86043000423934,8.097777164680359,8.778081583344134,,,0.17272180204508927,0.8272781979549108,,
NGC1051,DBARN,9.178984277382122,7.5908964222552475,9.166347392717187,,6.635482025821842,0.02581737867968779,0.9713217537916312,,0.0028608675286809983
NGC1073,DBAR,9.91302364815886,8.711244396809434,9.884838426324034,,,0.06283776773461323,0.9371622322653868,,
NGC1087,DBAR,10.184859709493903,8.88633212890787,10.162451208459052,,,0.0502889328021663,0.9497110671978336,,
NGC1179,DBARN,9.74615331899926,8.167491066549841,9.733225335274286,,7.215277189594628,0.026383824383468542,0.9706709140474004,,0.002945261569131039
NGC1187,DBARB,10.37465052180876,8.693575880481239,10.334267885608899,9.20684643527728,,0.020841326565860886,0.9112076638798947,0.06795100955424441,
NGC1232,DBARB,10.668348362506485,8.994382915818088,10.647546973918718,9.076294860454995,,0.02118529682875385,0.9532319961074277,0.025582707063818492,
NGC1255,DBAR,10.247584017333807,8.698744899901392,10.235134425306319,,,0.028259266336963337,0.9717407336630367,,
NGC1258,DBARN,9.516602177410455,8.049746102659048,9.49915317911057,,7.236825759153056,0.03413060017358538,0.960618622735625,,0.0052507770907895
NGC1291,DBARB,10.68678090517572,9.899005949463866,10.332318343616937,10.283233636423,,0.16301405259435067,0.4421172280355053,0.39486871937014406,
NGC1300,DBARB,10.481978726093557,9.483139336132945,10.389356770567979,9.444794840156561,,0.10026759774284345,0.8079380177756514,0.0917943844815051,
NGC1302,DBARBN,10.488495641287697,9.277816717214167,10.21779252602797,10.09038619690632,7.874063776769281,0.061563184398798494,0.5361630546028544,0.39984397438248714,0.0024297866158599383
NGC1310,DBARN,9.756396611754866,8.126158199938631,9.744284116015171,,7.366555404050295,0.0234294227244344,0.9724952847093797,,0.004075292566185903
NGC1326,DBARB,10.468155371866816,9.63268708870884,10.186055330774215,9.988853694678955,,0.14606014143307636,0.5222758672614389,0.33166399130548474,
NGC1326A,DBAR,8.784101339443348,7.432926740424538,8.764310344311436,,,0.044547711762826174,0.9554522882371738,,
NGC1338,DBAR,10.04331699919079,8.932826972671966,10.008265872453556,,,0.07753717494038291,0.9224628250596172,,
NGC1341,DBAR,9.613025626133869,8.776498258860867,9.544633801513529,,,0.14570438855251144,0.8542956114474886,,
NGC1345,DBAR,9.119434960584895,8.449628327325954,9.014917496179907,,,0.213891421490757,0.7861085785092429,,
NGC1365,DBARBN,10.974523560053319,10.166925373012168,10.731700693858372,10.351792874699465,9.508142039503129,0.15574058904457433,0.5717117707230611,0.2383797251198478,0.03416791511251673
NGC1367,DBARB,10.651586159638253,9.462092466315315,10.56277766523337,9.731836076868792,,0.06464073808399669,0.815063613553074,0.1202956483629293,
NGC1398,DBARB,11.050254924143125,9.942026248104291,10.78637667558436,10.627059947717632,,0.0779419602153398,0.5446553217776703,0.37740271800699,
NGC1452,DBARB,10.29378481731328,9.553664635686427,10.031457312880665,9.72751730437797,,0.18191973653307233,0.5466036099219159,0.27147665354501166,
NGC1483,DBAR,9.520521853039392,8.314289068742468,9.49263361809188,,,0.0621966818077188,0.9378033181922811,,
NGC1493,DBARN,9.580235416633307,8.030172450943514,9.565937626589218,,7.204115858553528,0.028179743408520346,0.9676141483777178,,0.0042061082137618494
NGC1533,DBARB,10.477108336915816,9.244753986137646,10.300634530461,9.91700019215543,,0.05856601160620611,0.6660796932627021,0.27535429513109183,
NGC1559,DBAR,10.32631426792698,8.610318210023836,10.317880957531411,,,0.01923109184918887,0.9807689081508112,,
NGC1637,DBARN,9.908890160027607,8.630694879653063,9.868365179511809,,8.469892025347722,0.05269928459756299,0.9109090554857512,,0.03639165991668579
NGC1640,DBARBN,10.074918001016547,9.241809922208825,9.922444232751229,9.146991196026487,8.568616083074282,0.14685607651760835,0.7039247442710009,0.11805195809871123,0.031167221112679392
NGC1672,DBARB,10.630873628787565,9.784452583634858,10.419838217620516,10.015497017896122,,0.14242261477873702,0.615126714939444,0.24245067028181894,
NGC1679,DBAR,9.457456609660099,8.26586811100668,9.428579455702613,,,0.06432969633588655,0.9356703036641135,,
NGC1688,DBARN,9.632675521777369,8.824221166995759,9.554908497650667,,7.562846930476887,0.1554338646286459,0.8360513950281806,,0.00851474034317348
NGC1800,DBAR,8.654722816522069,7.909995034826933,8.568536731861515,,,0.17999988113203227,0.8200001188679678,,
NGC1879,DBARN,9.345827057202454,7.987473270694391,9.326097519172093,,6.120442815143458,0.04381736058132609,0.9555875040541802,,0.0005951353644936449
NGC2500,DBARN,9.422285862766719,7.677791077060354,9.413910189033906,,6.460219885771991,0.018009647573339647,0.9808990778866628,,0.00109127453999771
NGC2608,DBARN,10.13484314764869,8.82019606141856,10.088933451144737,,8.849665341774347,0.04845659727243077,0.8996846348433378,,0.051858767884231396
NGC2633,DBARB,10.443110811201253,9.742809804617822,10.06033181578563,10.030149733465933,,0.19938798912123426,0.4142104053588284,0.38640160551993724,
NGC2893,DBARB,9.825259806707038,9.120816363972192,9.093744595603109,9.615505982955204,,0.19749520565529716,0.18556018160994303,0.61694461273476,
